heure_id,enseignant_id,filieres_code,heure_valeur,semestre
178,201,CYBERSECURITE,48,S5
179,213,INFO,70,S3
180,201,TELECOM,36,S3
181,217,ENERGIE,23,S2
182,205,ELECTRO,30,S1
183,205,TELECOM,25,S2
184,215,AP2,47,S2
185,209,TELECOM,49,S5
186,217,AP2,14,S2
187,221,TELECOM,26,S4
188,218,ELECTRO,55,S5
189,211,TELECOM,15,S5
190,210,AP1,29,S4
191,216,ELECTRO,58,S4
192,219,INFO,72,S6
193,215,TELECOM,23,S3
194,214,AP2,61,S6
195,206,ENERGIE,54,S2
196,213,INDUS,18,S6
197,229,ELECTRO,15,S2
198,203,ENERGIE,71,S1
199,227,INDUS,58,S1
200,207,ENERGIE,54,S2
