heure_id,enseignant_id,filieres_code,heure_valeur,semestre
105,201,INFO,42,S6
106,215,ENERGIE,59,S6
107,221,TELECOM,47,S3
108,209,AP,32,S5
109,217,ENERGIE,71,S6
110,203,INDUS,45,S3
111,220,TELECOM,60,S2
112,207,CYBER,54,S2
113,219,CYBER,67,S4
114,210,INFO,34,S6
115,211,INDUS,23,S6
116,207,TELECOM,52,S5
117,223,INDUS,60,S6
118,228,TELECOM,32,S2
119,208,CYBER,21,S1
120,210,CYBER,15,S2
121,219,TELECOM,62,S5
122,220,CYBER,30,S2
123,219,ELECTRO,37,S1
124,212,INDUS,71,S6
125,223,TELECOM,70,S2
126,226,ELECTRO,55,S2
127,207,ENERGIE,24,S1
128,226,TELECOM,20,S5
129,228,CYBER,42,S5
130,225,ELECTRO,16,S1
131,207,CYBER,58,S6
132,206,TELECOM,31,S5
133,225,ELECTRO,41,S2
134,228,INFO,61,S3
135,205,ELECTRO,67,S4
136,217,INDUS,16,S6
137,227,INDUS,17,S3
138,215,INFO,51,S3
139,221,AP,59,S3
140,229,AP,30,S4
141,224,CYBER,29,S5
142,211,TELECOM,25,S2
143,228,CYBER,15,S1
144,216,ELECTRO,51,S6
145,216,AP,44,S5
146,229,ELECTRO,67,S6
147,211,INFO,58,S2
148,214,ELECTRO,23,S4
149,202,TELECOM,62,S4
150,214,INDUS,24,S2
151,227,INFO,38,S5
152,224,INDUS,57,S3
153,208,INDUS,24,S4
154,222,TELECOM,12,S3
155,213,CYBER,47,S3
156,216,AP,38,S2
157,211,AP,61,S5
158,202,CYBER,43,S2
159,216,ELECTRO,31,S1
160,210,TELECOM,41,S3
161,214,ENERGIE,71,S5
162,206,TELECOM,20,S1
163,215,ENERGIE,51,S2
164,218,CYBER,13,S3
165,201,CYBER,14,S5
166,204,TELECOM,64,S2
167,219,CYBER,44,S2
168,217,TELECOM,17,S1
169,220,TELECOM,38,S6
170,206,ENERGIE,58,S6
171,206,AP,30,S1
172,205,INDUS,49,S6
173,209,INDUS,28,S6
174,221,AP,34,S2
175,206,TELECOM,30,S6
176,226,INFO,49,S5
177,204,CYBER,66,S6
178,211,ELECTRO,31,S4
179,227,ELECTRO,71,S2
180,219,INDUS,21,S5
181,207,INFO,14,S3
182,215,CYBER,49,S4
183,225,ENERGIE,66,S1
184,214,ELECTRO,61,S4
185,215,INFO,24,S3
186,209,INDUS,61,S1
187,228,INFO,15,S3
188,202,ELECTRO,50,S4
189,211,ENERGIE,26,S6
190,206,INFO,22,S3
191,214,ELECTRO,35,S4
192,228,INFO,62,S1
193,206,CYBER,56,S3
194,220,ENERGIE,47,S2
195,226,INFO,49,S2
196,206,ENERGIE,60,S2
197,228,INDUS,51,S6
198,219,INDUS,61,S2
199,206,INFO,67,S1
200,203,ELECTRO,70,S3
