absence_id,etudiant_id,absence_date,absence_heures,filieres_groupe_id,filieres_nom,filieres_niveau,groupes_nom
53,58,2024-09-30,6,2,Annees Preparatoires,AP1,AP1_G2
54,60,2025-01-11,6,2,Annees Preparatoires,AP1,AP1_G2
55,62,2024-12-03,2,2,Annees Preparatoires,AP1,AP1_G2
56,62,2025-06-04,2,2,Annees Preparatoires,AP1,AP1_G2
57,63,2024-12-04,4,1,Annees Preparatoires,AP1,AP1_G1
58,64,2025-05-07,2,1,Annees Preparatoires,AP1,AP1_G1
59,64,2024-10-05,2,1,Annees Preparatoires,AP1,AP1_G1
60,65,2024-09-25,2,2,Annees Preparatoires,AP1,AP1_G2
61,66,2025-06-10,2,2,Annees Preparatoires,AP1,AP1_G2
62,67,2024-10-14,2,1,Annees Preparatoires,AP1,AP1_G1
63,69,2025-05-22,6,2,Annees Preparatoires,AP1,AP1_G2
64,69,2024-12-05,2,2,Annees Preparatoires,AP1,AP1_G2
65,69,2025-04-13,8,2,Annees Preparatoires,AP1,AP1_G2
66,71,2024-09-05,2,2,Annees Preparatoires,AP1,AP1_G2
67,71,2024-12-10,2,2,Annees Preparatoires,AP1,AP1_G2
68,71,2025-05-24,4,2,Annees Preparatoires,AP1,AP1_G2
69,72,2024-11-12,4,2,Annees Preparatoires,AP1,AP1_G2
70,72,2025-05-29,8,2,Annees Preparatoires,AP1,AP1_G2
71,72,2025-02-03,2,2,Annees Preparatoires,AP1,AP1_G2
72,72,2024-11-08,2,2,Annees Preparatoires,AP1,AP1_G2
73,74,2024-12-28,4,2,Annees Preparatoires,AP1,AP1_G2
74,75,2025-04-08,2,1,Annees Preparatoires,AP1,AP1_G1
75,76,2025-04-17,4,2,Annees Preparatoires,AP1,AP1_G2
76,77,2025-04-15,4,2,Annees Preparatoires,AP1,AP1_G2
77,77,2025-06-14,2,2,Annees Preparatoires,AP1,AP1_G2
78,77,2024-12-20,6,2,Annees Preparatoires,AP1,AP1_G2
79,77,2024-12-13,2,2,Annees Preparatoires,AP1,AP1_G2
80,78,2025-06-13,2,1,Annees Preparatoires,AP1,AP1_G1
81,79,2025-03-21,6,2,Annees Preparatoires,AP1,AP1_G2
82,80,2025-01-09,6,1,Annees Preparatoires,AP1,AP1_G1
83,83,2025-05-08,6,2,Annees Preparatoires,AP1,AP1_G2
84,87,2024-09-20,2,2,Annees Preparatoires,AP1,AP1_G2
85,88,2024-12-11,6,1,Annees Preparatoires,AP1,AP1_G1
86,91,2025-04-03,2,1,Annees Preparatoires,AP1,AP1_G1
87,91,2025-01-14,2,1,Annees Preparatoires,AP1,AP1_G1
88,91,2024-09-07,4,1,Annees Preparatoires,AP1,AP1_G1
89,91,2024-09-18,4,1,Annees Preparatoires,AP1,AP1_G1
90,91,2024-12-04,4,1,Annees Preparatoires,AP1,AP1_G1
91,91,2025-03-31,4,1,Annees Preparatoires,AP1,AP1_G1
92,94,2025-04-23,4,2,Annees Preparatoires,AP1,AP1_G2
93,94,2025-01-19,4,2,Annees Preparatoires,AP1,AP1_G2
94,95,2024-10-03,2,1,Annees Preparatoires,AP1,AP1_G1
95,96,2024-09-03,2,1,Annees Preparatoires,AP1,AP1_G1
96,97,2024-09-30,2,1,Annees Preparatoires,AP1,AP1_G1
97,98,2025-03-13,8,1,Annees Preparatoires,AP1,AP1_G1
98,98,2024-10-28,6,1,Annees Preparatoires,AP1,AP1_G1
99,98,2025-05-18,2,1,Annees Preparatoires,AP1,AP1_G1
100,99,2024-11-03,4,2,Annees Preparatoires,AP1,AP1_G2
101,99,2024-12-21,2,2,Annees Preparatoires,AP1,AP1_G2
102,102,2025-05-17,2,2,Annees Preparatoires,AP1,AP1_G2
103,102,2024-10-25,8,2,Annees Preparatoires,AP1,AP1_G2
104,104,2024-10-11,4,1,Annees Preparatoires,AP1,AP1_G1
105,106,2025-04-20,4,2,Annees Preparatoires,AP1,AP1_G2
106,106,2025-01-22,8,2,Annees Preparatoires,AP1,AP1_G2
107,106,2025-04-08,6,2,Annees Preparatoires,AP1,AP1_G2
108,106,2025-03-25,2,2,Annees Preparatoires,AP1,AP1_G2
109,107,2025-05-15,8,1,Annees Preparatoires,AP1,AP1_G1
110,108,2025-06-22,2,1,Annees Preparatoires,AP1,AP1_G1
111,109,2025-05-01,2,2,Annees Preparatoires,AP1,AP1_G2
112,111,2024-11-18,8,2,Annees Preparatoires,AP1,AP1_G2
113,111,2024-09-27,8,2,Annees Preparatoires,AP1,AP1_G2
114,111,2025-04-03,4,2,Annees Preparatoires,AP1,AP1_G2
115,112,2025-04-11,2,2,Annees Preparatoires,AP1,AP1_G2
116,113,2025-03-16,8,1,Annees Preparatoires,AP1,AP1_G1
117,116,2024-09-26,2,1,Annees Preparatoires,AP1,AP1_G1
118,122,2025-06-26,2,2,Annees Preparatoires,AP1,AP1_G2
119,125,2025-03-24,6,2,Annees Preparatoires,AP1,AP1_G2
120,126,2025-03-02,4,2,Annees Preparatoires,AP1,AP1_G2
121,126,2025-01-29,4,2,Annees Preparatoires,AP1,AP1_G2
122,126,2024-12-12,4,2,Annees Preparatoires,AP1,AP1_G2
123,127,2024-10-24,4,1,Annees Preparatoires,AP1,AP1_G1
124,128,2025-05-20,4,2,Annees Preparatoires,AP1,AP1_G2
125,129,2025-01-01,8,1,Annees Preparatoires,AP1,AP1_G1
126,129,2025-04-16,4,1,Annees Preparatoires,AP1,AP1_G1
127,129,2024-10-23,4,1,Annees Preparatoires,AP1,AP1_G1
128,131,2025-03-05,4,2,Annees Preparatoires,AP1,AP1_G2
129,135,2025-03-31,4,1,Annees Preparatoires,AP1,AP1_G1
130,139,2025-02-28,6,1,Annees Preparatoires,AP1,AP1_G1
131,141,2024-09-11,2,1,Annees Preparatoires,AP1,AP1_G1
132,142,2025-06-06,2,1,Annees Preparatoires,AP1,AP1_G1
133,144,2025-01-02,8,2,Annees Preparatoires,AP1,AP1_G2
134,144,2024-12-13,6,2,Annees Preparatoires,AP1,AP1_G2
135,145,2025-01-04,4,1,Annees Preparatoires,AP1,AP1_G1
136,151,2025-05-07,2,2,Annees Preparatoires,AP1,AP1_G2
137,154,2025-02-09,2,1,Annees Preparatoires,AP1,AP1_G1
138,154,2025-03-31,4,1,Annees Preparatoires,AP1,AP1_G1
139,155,2024-11-23,2,2,Annees Preparatoires,AP1,AP1_G2
140,155,2024-12-08,6,2,Annees Preparatoires,AP1,AP1_G2
141,155,2024-11-07,4,2,Annees Preparatoires,AP1,AP1_G2
142,157,2025-02-01,2,1,Annees Preparatoires,AP1,AP1_G1
143,157,2024-12-02,4,1,Annees Preparatoires,AP1,AP1_G1
144,157,2025-05-01,6,1,Annees Preparatoires,AP1,AP1_G1
145,157,2025-06-02,2,1,Annees Preparatoires,AP1,AP1_G1
146,159,2025-05-30,2,2,Annees Preparatoires,AP1,AP1_G2
147,160,2025-02-05,8,1,Annees Preparatoires,AP1,AP1_G1
148,161,2025-06-02,2,1,Annees Preparatoires,AP1,AP1_G1
149,161,2025-06-01,4,1,Annees Preparatoires,AP1,AP1_G1
150,162,2024-12-09,2,1,Annees Preparatoires,AP1,AP1_G1
151,163,2025-01-25,4,1,Annees Preparatoires,AP1,AP1_G1
152,163,2025-02-11,2,1,Annees Preparatoires,AP1,AP1_G1
153,166,2025-05-10,4,1,Annees Preparatoires,AP1,AP1_G1
154,166,2024-11-21,2,1,Annees Preparatoires,AP1,AP1_G1
155,167,2025-05-21,8,1,Annees Preparatoires,AP1,AP1_G1
156,167,2024-09-27,2,1,Annees Preparatoires,AP1,AP1_G1
157,167,2025-03-05,2,1,Annees Preparatoires,AP1,AP1_G1
158,167,2025-06-02,2,1,Annees Preparatoires,AP1,AP1_G1
159,171,2025-06-04,2,1,Annees Preparatoires,AP1,AP1_G1
160,172,2024-09-06,2,1,Annees Preparatoires,AP1,AP1_G1
161,173,2024-10-11,2,1,Annees Preparatoires,AP1,AP1_G1
162,176,2025-04-30,2,2,Annees Preparatoires,AP1,AP1_G2
163,176,2025-01-22,2,2,Annees Preparatoires,AP1,AP1_G2
164,176,2024-12-29,6,2,Annees Preparatoires,AP1,AP1_G2
165,176,2024-09-23,4,2,Annees Preparatoires,AP1,AP1_G2
166,177,2024-09-13,2,2,Annees Preparatoires,AP1,AP1_G2
167,177,2024-11-10,8,2,Annees Preparatoires,AP1,AP1_G2
168,180,2025-04-20,4,1,Annees Preparatoires,AP1,AP1_G1
169,181,2025-06-16,6,1,Annees Preparatoires,AP1,AP1_G1
170,181,2025-02-25,4,1,Annees Preparatoires,AP1,AP1_G1
171,181,2025-03-30,2,1,Annees Preparatoires,AP1,AP1_G1
172,183,2025-01-08,2,2,Annees Preparatoires,AP1,AP1_G2
173,185,2024-09-12,4,2,Annees Preparatoires,AP1,AP1_G2
174,186,2025-05-02,6,2,Annees Preparatoires,AP1,AP1_G2
175,189,2025-03-29,4,1,Annees Preparatoires,AP1,AP1_G1
176,190,2024-09-17,2,2,Annees Preparatoires,AP1,AP1_G2
177,190,2025-06-03,2,2,Annees Preparatoires,AP1,AP1_G2
178,192,2025-04-02,4,1,Annees Preparatoires,AP1,AP1_G1
179,192,2024-11-05,4,1,Annees Preparatoires,AP1,AP1_G1
180,192,2025-05-23,4,1,Annees Preparatoires,AP1,AP1_G1
181,192,2025-03-25,2,1,Annees Preparatoires,AP1,AP1_G1
182,192,2025-01-06,6,1,Annees Preparatoires,AP1,AP1_G1
183,195,2025-06-02,2,2,Annees Preparatoires,AP1,AP1_G2
184,195,2025-03-06,4,2,Annees Preparatoires,AP1,AP1_G2
185,195,2024-10-01,4,2,Annees Preparatoires,AP1,AP1_G2
186,197,2024-12-24,4,2,Annees Preparatoires,AP1,AP1_G2
187,199,2025-01-13,4,2,Annees Preparatoires,AP1,AP1_G2
188,202,2024-11-19,2,1,Annees Preparatoires,AP1,AP1_G1
189,206,2025-01-21,4,2,Annees Preparatoires,AP1,AP1_G2
190,208,2025-01-10,4,2,Annees Preparatoires,AP1,AP1_G2
191,209,2025-06-20,4,2,Annees Preparatoires,AP1,AP1_G2
192,210,2025-01-26,4,1,Annees Preparatoires,AP1,AP1_G1
193,210,2024-12-06,2,1,Annees Preparatoires,AP1,AP1_G1
194,211,2025-02-25,4,1,Annees Preparatoires,AP1,AP1_G1
195,215,2024-10-22,4,2,Annees Preparatoires,AP1,AP1_G2
196,216,2025-05-15,2,2,Annees Preparatoires,AP1,AP1_G2
197,217,2024-12-28,2,2,Annees Preparatoires,AP1,AP1_G2
198,217,2025-05-23,2,2,Annees Preparatoires,AP1,AP1_G2
199,219,2025-01-04,4,1,Annees Preparatoires,AP1,AP1_G1
200,221,2025-06-11,4,2,Annees Preparatoires,AP1,AP1_G2
201,222,2024-09-01,2,2,Annees Preparatoires,AP1,AP1_G2
202,223,2024-10-09,2,1,Annees Preparatoires,AP1,AP1_G1
203,224,2024-10-04,2,1,Annees Preparatoires,AP1,AP1_G1
204,224,2025-02-03,6,1,Annees Preparatoires,AP1,AP1_G1
205,229,2024-09-25,4,1,Annees Preparatoires,AP1,AP1_G1
206,229,2024-09-29,2,1,Annees Preparatoires,AP1,AP1_G1
207,231,2024-10-08,4,1,Annees Preparatoires,AP1,AP1_G1
208,231,2025-02-19,4,1,Annees Preparatoires,AP1,AP1_G1
209,231,2025-05-13,2,1,Annees Preparatoires,AP1,AP1_G1
210,232,2025-06-22,4,2,Annees Preparatoires,AP1,AP1_G2
211,232,2025-02-12,4,2,Annees Preparatoires,AP1,AP1_G2
212,238,2025-04-10,6,1,Annees Preparatoires,AP1,AP1_G1
213,239,2025-01-29,4,1,Annees Preparatoires,AP1,AP1_G1
214,240,2025-05-19,4,1,Annees Preparatoires,AP1,AP1_G1
215,240,2025-04-20,4,1,Annees Preparatoires,AP1,AP1_G1
216,240,2024-12-08,2,1,Annees Preparatoires,AP1,AP1_G1
217,240,2025-06-06,4,1,Annees Preparatoires,AP1,AP1_G1
218,240,2025-04-16,2,1,Annees Preparatoires,AP1,AP1_G1
219,240,2025-01-12,2,1,Annees Preparatoires,AP1,AP1_G1
220,241,2025-05-29,2,1,Annees Preparatoires,AP1,AP1_G1
221,241,2025-04-16,4,1,Annees Preparatoires,AP1,AP1_G1
222,241,2025-01-01,2,1,Annees Preparatoires,AP1,AP1_G1
223,242,2025-01-04,2,2,Annees Preparatoires,AP1,AP1_G2
224,243,2024-11-21,2,2,Annees Preparatoires,AP1,AP1_G2
225,243,2024-12-15,2,2,Annees Preparatoires,AP1,AP1_G2
226,243,2025-05-17,4,2,Annees Preparatoires,AP1,AP1_G2
227,245,2024-10-24,2,1,Annees Preparatoires,AP1,AP1_G1
228,249,2025-02-15,2,1,Annees Preparatoires,AP1,AP1_G1
229,250,2024-09-23,4,2,Annees Preparatoires,AP1,AP1_G2
230,250,2024-10-30,4,2,Annees Preparatoires,AP1,AP1_G2
231,252,2025-02-07,6,2,Annees Preparatoires,AP1,AP1_G2
232,264,2025-01-17,2,2,Annees Preparatoires,AP1,AP1_G2
233,265,2025-02-19,4,1,Annees Preparatoires,AP1,AP1_G1
234,265,2025-04-29,2,1,Annees Preparatoires,AP1,AP1_G1
235,265,2025-05-31,6,1,Annees Preparatoires,AP1,AP1_G1
236,265,2024-12-23,2,1,Annees Preparatoires,AP1,AP1_G1
237,267,2025-06-23,2,2,Annees Preparatoires,AP1,AP1_G2
238,267,2025-03-22,6,2,Annees Preparatoires,AP1,AP1_G2
239,272,2025-03-21,2,1,Annees Preparatoires,AP1,AP1_G1
240,276,2025-06-15,8,2,Annees Preparatoires,AP1,AP1_G2
241,276,2024-10-22,4,2,Annees Preparatoires,AP1,AP1_G2
242,277,2025-03-11,4,1,Annees Preparatoires,AP1,AP1_G1
243,278,2024-09-03,8,1,Annees Preparatoires,AP1,AP1_G1
244,278,2025-01-30,2,1,Annees Preparatoires,AP1,AP1_G1
245,280,2024-11-15,8,2,Annees Preparatoires,AP1,AP1_G2
246,285,2025-06-25,2,2,Annees Preparatoires,AP1,AP1_G2
247,285,2025-01-03,4,2,Annees Preparatoires,AP1,AP1_G2
248,285,2024-09-15,2,2,Annees Preparatoires,AP1,AP1_G2
249,285,2024-10-28,4,2,Annees Preparatoires,AP1,AP1_G2
250,285,2024-12-03,4,2,Annees Preparatoires,AP1,AP1_G2
251,286,2025-05-21,2,1,Annees Preparatoires,AP1,AP1_G1
252,287,2025-02-26,6,1,Annees Preparatoires,AP1,AP1_G1
253,288,2025-01-18,2,2,Annees Preparatoires,AP1,AP1_G2
254,288,2025-02-14,2,2,Annees Preparatoires,AP1,AP1_G2
255,296,2025-01-26,6,1,Annees Preparatoires,AP1,AP1_G1
256,296,2024-10-08,6,1,Annees Preparatoires,AP1,AP1_G1
257,297,2025-06-04,4,2,Annees Preparatoires,AP1,AP1_G2
258,297,2025-05-19,6,2,Annees Preparatoires,AP1,AP1_G2
259,297,2025-04-04,4,2,Annees Preparatoires,AP1,AP1_G2
260,297,2025-01-12,6,2,Annees Preparatoires,AP1,AP1_G2
261,297,2025-02-16,8,2,Annees Preparatoires,AP1,AP1_G2
262,299,2025-05-25,2,2,Annees Preparatoires,AP1,AP1_G2
263,299,2025-04-30,2,2,Annees Preparatoires,AP1,AP1_G2
264,299,2025-03-04,2,2,Annees Preparatoires,AP1,AP1_G2
265,302,2024-11-23,4,1,Annees Preparatoires,AP1,AP1_G1
266,303,2024-11-25,4,1,Annees Preparatoires,AP1,AP1_G1
267,303,2024-09-08,4,1,Annees Preparatoires,AP1,AP1_G1
268,303,2024-11-19,6,1,Annees Preparatoires,AP1,AP1_G1
269,306,2025-01-23,4,2,Annees Preparatoires,AP1,AP1_G2
270,307,2025-04-07,4,2,Annees Preparatoires,AP1,AP1_G2
271,307,2025-02-20,2,2,Annees Preparatoires,AP1,AP1_G2
272,307,2025-05-29,4,2,Annees Preparatoires,AP1,AP1_G2
273,314,2025-05-16,4,2,Annees Preparatoires,AP1,AP1_G2
274,314,2024-10-29,2,2,Annees Preparatoires,AP1,AP1_G2
275,314,2025-05-11,2,2,Annees Preparatoires,AP1,AP1_G2
276,314,2025-06-26,2,2,Annees Preparatoires,AP1,AP1_G2
277,314,2025-03-28,2,2,Annees Preparatoires,AP1,AP1_G2
278,316,2025-05-23,4,1,Annees Preparatoires,AP1,AP1_G1
279,317,2024-12-11,4,2,Annees Preparatoires,AP1,AP1_G2
280,318,2024-11-18,4,2,Annees Preparatoires,AP1,AP1_G2
281,318,2024-12-13,2,2,Annees Preparatoires,AP1,AP1_G2
282,318,2024-12-31,2,2,Annees Preparatoires,AP1,AP1_G2
283,320,2025-03-03,4,2,Annees Preparatoires,AP1,AP1_G2
284,320,2025-03-14,2,2,Annees Preparatoires,AP1,AP1_G2
285,320,2025-01-31,6,2,Annees Preparatoires,AP1,AP1_G2
286,322,2025-02-20,4,1,Annees Preparatoires,AP1,AP1_G1
287,322,2025-02-26,8,1,Annees Preparatoires,AP1,AP1_G1
288,322,2024-10-03,2,1,Annees Preparatoires,AP1,AP1_G1
289,322,2025-02-27,4,1,Annees Preparatoires,AP1,AP1_G1
290,322,2024-11-08,4,1,Annees Preparatoires,AP1,AP1_G1
291,324,2024-09-15,4,1,Annees Preparatoires,AP1,AP1_G1
292,324,2025-06-20,4,1,Annees Preparatoires,AP1,AP1_G1
293,324,2025-06-13,8,1,Annees Preparatoires,AP1,AP1_G1
294,324,2024-12-29,4,1,Annees Preparatoires,AP1,AP1_G1
295,324,2024-11-24,6,1,Annees Preparatoires,AP1,AP1_G1
296,324,2024-10-05,4,1,Annees Preparatoires,AP1,AP1_G1
297,326,2024-10-25,2,1,Annees Preparatoires,AP1,AP1_G1
298,328,2024-11-16,2,2,Annees Preparatoires,AP1,AP1_G2
299,330,2024-11-20,2,1,Annees Preparatoires,AP1,AP1_G1
300,330,2024-11-30,4,1,Annees Preparatoires,AP1,AP1_G1
301,331,2025-01-24,2,2,Annees Preparatoires,AP1,AP1_G2
302,332,2025-01-06,6,1,Annees Preparatoires,AP1,AP1_G1
303,334,2025-02-27,2,1,Annees Preparatoires,AP1,AP1_G1
304,339,2024-12-04,4,2,Annees Preparatoires,AP1,AP1_G2
305,339,2025-03-13,6,2,Annees Preparatoires,AP1,AP1_G2
306,339,2025-06-29,2,2,Annees Preparatoires,AP1,AP1_G2
307,339,2025-06-09,6,2,Annees Preparatoires,AP1,AP1_G2
308,343,2024-10-16,2,2,Annees Preparatoires,AP1,AP1_G2
309,343,2025-02-12,4,2,Annees Preparatoires,AP1,AP1_G2
310,343,2025-02-03,2,2,Annees Preparatoires,AP1,AP1_G2
311,344,2024-11-23,2,1,Annees Preparatoires,AP1,AP1_G1
312,346,2024-10-24,2,1,Annees Preparatoires,AP1,AP1_G1
313,346,2025-02-17,4,1,Annees Preparatoires,AP1,AP1_G1
314,346,2025-04-20,2,1,Annees Preparatoires,AP1,AP1_G1
315,347,2024-09-27,2,1,Annees Preparatoires,AP1,AP1_G1
316,347,2025-06-02,2,1,Annees Preparatoires,AP1,AP1_G1
317,347,2025-06-30,4,1,Annees Preparatoires,AP1,AP1_G1
318,347,2025-06-29,4,1,Annees Preparatoires,AP1,AP1_G1
319,347,2024-10-26,6,1,Annees Preparatoires,AP1,AP1_G1
320,347,2025-01-19,2,1,Annees Preparatoires,AP1,AP1_G1
321,347,2024-09-21,4,1,Annees Preparatoires,AP1,AP1_G1
322,349,2025-01-04,8,2,Annees Preparatoires,AP1,AP1_G2
323,351,2025-06-21,4,2,Annees Preparatoires,AP1,AP1_G2
324,352,2024-12-04,2,2,Annees Preparatoires,AP1,AP1_G2
325,357,2024-10-21,6,2,Annees Preparatoires,AP1,AP1_G2
326,359,2025-01-12,4,2,Annees Preparatoires,AP1,AP1_G2
327,360,2024-11-21,6,1,Annees Preparatoires,AP1,AP1_G1
328,360,2024-12-30,2,1,Annees Preparatoires,AP1,AP1_G1
329,360,2024-12-13,2,1,Annees Preparatoires,AP1,AP1_G1
330,362,2024-11-04,8,1,Annees Preparatoires,AP1,AP1_G1
331,366,2024-12-31,6,1,Annees Preparatoires,AP1,AP1_G1
332,371,2024-11-14,4,1,Annees Preparatoires,AP1,AP1_G1
333,371,2025-04-03,2,1,Annees Preparatoires,AP1,AP1_G1
334,372,2025-01-19,4,2,Annees Preparatoires,AP1,AP1_G2
335,372,2025-04-25,2,2,Annees Preparatoires,AP1,AP1_G2
336,372,2025-05-03,4,2,Annees Preparatoires,AP1,AP1_G2
337,373,2025-04-04,2,2,Annees Preparatoires,AP1,AP1_G2
338,377,2025-01-01,4,1,Annees Preparatoires,AP1,AP1_G1
339,377,2024-11-15,2,1,Annees Preparatoires,AP1,AP1_G1
340,377,2025-01-07,4,1,Annees Preparatoires,AP1,AP1_G1
341,377,2025-02-04,4,1,Annees Preparatoires,AP1,AP1_G1
342,377,2024-09-26,6,1,Annees Preparatoires,AP1,AP1_G1
343,378,2024-11-29,4,1,Annees Preparatoires,AP1,AP1_G1
344,378,2024-09-16,6,1,Annees Preparatoires,AP1,AP1_G1
345,378,2025-03-08,4,1,Annees Preparatoires,AP1,AP1_G1
346,378,2024-10-06,4,1,Annees Preparatoires,AP1,AP1_G1
347,378,2024-12-30,4,1,Annees Preparatoires,AP1,AP1_G1
348,378,2024-10-30,6,1,Annees Preparatoires,AP1,AP1_G1
349,380,2024-09-06,6,1,Annees Preparatoires,AP1,AP1_G1
350,380,2024-11-07,2,1,Annees Preparatoires,AP1,AP1_G1
351,380,2024-11-03,4,1,Annees Preparatoires,AP1,AP1_G1
352,381,2025-04-10,6,1,Annees Preparatoires,AP1,AP1_G1
353,382,2025-03-17,6,1,Annees Preparatoires,AP1,AP1_G1
354,383,2024-09-11,2,2,Annees Preparatoires,AP1,AP1_G2
355,383,2025-01-11,4,2,Annees Preparatoires,AP1,AP1_G2
356,383,2025-03-24,2,2,Annees Preparatoires,AP1,AP1_G2
357,384,2025-06-10,2,2,Annees Preparatoires,AP1,AP1_G2
358,385,2025-05-27,4,1,Annees Preparatoires,AP1,AP1_G1
359,386,2024-09-16,2,2,Annees Preparatoires,AP1,AP1_G2
360,389,2024-09-15,4,1,Annees Preparatoires,AP1,AP1_G1
361,390,2024-10-07,2,1,Annees Preparatoires,AP1,AP1_G1
362,391,2025-01-11,2,2,Annees Preparatoires,AP1,AP1_G2
363,397,2025-04-04,4,1,Annees Preparatoires,AP1,AP1_G1
364,398,2024-11-12,4,1,Annees Preparatoires,AP1,AP1_G1
365,401,2024-10-12,4,1,Annees Preparatoires,AP1,AP1_G1
366,403,2024-11-03,4,2,Annees Preparatoires,AP1,AP1_G2
367,404,2025-06-05,8,1,Annees Preparatoires,AP1,AP1_G1
368,412,2024-11-14,2,1,Annees Preparatoires,AP1,AP1_G1
369,412,2025-03-09,4,1,Annees Preparatoires,AP1,AP1_G1
370,412,2024-12-10,2,1,Annees Preparatoires,AP1,AP1_G1
371,412,2024-09-13,6,1,Annees Preparatoires,AP1,AP1_G1
372,412,2025-06-10,4,1,Annees Preparatoires,AP1,AP1_G1
373,414,2025-03-25,2,2,Annees Preparatoires,AP1,AP1_G2
374,416,2025-03-31,6,1,Annees Preparatoires,AP1,AP1_G1
375,416,2024-10-29,4,1,Annees Preparatoires,AP1,AP1_G1
376,416,2025-01-27,4,1,Annees Preparatoires,AP1,AP1_G1
377,416,2024-09-26,2,1,Annees Preparatoires,AP1,AP1_G1
378,417,2024-11-08,2,1,Annees Preparatoires,AP1,AP1_G1
379,419,2025-01-20,4,1,Annees Preparatoires,AP1,AP1_G1
380,421,2024-09-09,4,1,Annees Preparatoires,AP1,AP1_G1
381,422,2025-06-27,8,1,Annees Preparatoires,AP1,AP1_G1
382,422,2025-05-21,2,1,Annees Preparatoires,AP1,AP1_G1
383,422,2024-12-24,2,1,Annees Preparatoires,AP1,AP1_G1
384,422,2024-10-15,2,1,Annees Preparatoires,AP1,AP1_G1
385,422,2025-01-23,4,1,Annees Preparatoires,AP1,AP1_G1
