note_id,etudiant_id,matiere,notes
323,33,Analyse 1,10.49
324,33,Physique Mécanique,11.38
325,33,Chimie Générale,20.0
326,33,Algorithmique 1,12.23
327,33,Bureautique,14.25
328,33,Langue Anglaise 1,16.56
329,33,Expression Communication,12.92
330,33,Initiation à l'Informatique,16.71
331,34,Mathématiques Fondamentales,13.46
332,34,Algèbre Linéaire,5.96
333,34,Analyse 1,15.39
334,34,Physique Mécanique,15.97
335,34,Chimie Générale,14.37
336,34,Algorithmique 1,7.87
337,34,Bureautique,14.74
338,34,Langue Anglaise 1,12.94
339,34,Expression Communication,13.61
340,34,Initiation à l'Informatique,12.58
341,35,Mathématiques Fondamentales,16.84
342,35,Algèbre Linéaire,14.32
343,35,Analyse 1,14.77
344,35,Physique Mécanique,19.15
345,35,Chimie Générale,5.21
346,35,Algorithmique 1,14.31
347,35,Bureautique,12.76
348,35,Langue Anglaise 1,13.12
349,35,Expression Communication,12.96
350,35,Initiation à l'Informatique,16.02
351,36,Mathématiques Fondamentales,13.06
352,36,Algèbre Linéaire,10.02
353,36,Analyse 1,16.45
354,36,Physique Mécanique,13.38
355,36,Chimie Générale,14.89
356,36,Algorithmique 1,13.85
357,36,Bureautique,13.29
358,36,Langue Anglaise 1,11.54
359,36,Expression Communication,12.83
360,36,Initiation à l'Informatique,17.7
361,37,Mathématiques Fondamentales,8.78
362,37,Algèbre Linéaire,13.84
363,37,Analyse 1,13.43
364,37,Physique Mécanique,11.24
365,37,Chimie Générale,19.51
366,37,Algorithmique 1,12.43
367,37,Bureautique,15.16
368,37,Langue Anglaise 1,14.05
369,37,Expression Communication,15.06
370,37,Initiation à l'Informatique,17.49
371,38,Mathématiques Fondamentales,11.45
372,38,Algèbre Linéaire,17.45
373,38,Analyse 1,8.0
374,38,Physique Mécanique,16.15
375,38,Chimie Générale,12.12
376,38,Algorithmique 1,17.35
377,38,Bureautique,6.96
378,38,Langue Anglaise 1,13.04
379,38,Expression Communication,12.83
380,38,Initiation à l'Informatique,15.4
381,39,Mathématiques Fondamentales,9.49
382,39,Algèbre Linéaire,6.9
383,39,Analyse 1,11.9
384,39,Physique Mécanique,14.27
385,39,Chimie Générale,16.52
386,39,Algorithmique 1,5.87
387,39,Bureautique,17.48
388,39,Langue Anglaise 1,13.59
389,39,Expression Communication,11.97
390,39,Initiation à l'Informatique,16.67
391,40,Mathématiques Fondamentales,17.31
392,40,Algèbre Linéaire,13.65
393,40,Analyse 1,8.15
394,40,Physique Mécanique,14.03
395,40,Chimie Générale,18.64
396,40,Algorithmique 1,13.94
397,40,Bureautique,19.42
398,40,Langue Anglaise 1,12.95
399,40,Expression Communication,13.86
400,40,Initiation à l'Informatique,14.69
401,41,Mathématiques Fondamentales,9.74
402,41,Algèbre Linéaire,5.25
403,41,Analyse 1,15.48
404,41,Physique Mécanique,8.15
405,41,Chimie Générale,18.51
406,41,Algorithmique 1,15.81
407,41,Bureautique,12.67
408,41,Langue Anglaise 1,15.96
409,41,Expression Communication,16.69
410,41,Initiation à l'Informatique,14.57
411,42,Mathématiques Fondamentales,17.21
412,42,Algèbre Linéaire,15.75
413,42,Analyse 1,8.36
414,42,Physique Mécanique,9.93
415,42,Chimie Générale,15.23
416,42,Algorithmique 1,15.51
417,42,Bureautique,13.67
418,42,Langue Anglaise 1,13.84
419,42,Expression Communication,13.11
420,42,Initiation à l'Informatique,13.1
421,43,Mathématiques Fondamentales,4.66
422,43,Algèbre Linéaire,12.3
423,43,Analyse 1,7.04
424,43,Physique Mécanique,10.57
425,43,Chimie Générale,11.68
426,43,Algorithmique 1,20.0
427,43,Bureautique,11.54
428,43,Langue Anglaise 1,14.13
429,43,Expression Communication,13.25
430,43,Initiation à l'Informatique,16.27
431,44,Mathématiques Fondamentales,9.5
432,44,Algèbre Linéaire,14.24
433,44,Analyse 1,9.37
434,44,Physique Mécanique,10.73
435,44,Chimie Générale,10.03
436,44,Algorithmique 1,14.48
437,44,Bureautique,10.18
438,44,Langue Anglaise 1,14.63
439,44,Expression Communication,13.76
440,44,Initiation à l'Informatique,11.62
441,45,Mathématiques Fondamentales,13.83
442,45,Algèbre Linéaire,17.47
443,45,Analyse 1,14.5
444,45,Physique Mécanique,12.58
445,45,Chimie Générale,8.18
446,45,Algorithmique 1,7.84
447,45,Bureautique,10.88
448,45,Langue Anglaise 1,14.59
449,45,Expression Communication,11.13
450,45,Initiation à l'Informatique,11.94
451,46,Mathématiques Fondamentales,12.35
452,46,Algèbre Linéaire,16.41
453,46,Analyse 1,13.88
454,46,Physique Mécanique,11.41
455,46,Chimie Générale,13.44
456,46,Algorithmique 1,9.3
457,46,Bureautique,20.0
458,46,Langue Anglaise 1,11.53
459,46,Expression Communication,14.59
460,46,Initiation à l'Informatique,11.39
461,47,Mathématiques Fondamentales,12.31
462,47,Algèbre Linéaire,7.7
463,47,Analyse 1,6.98
464,47,Physique Mécanique,15.2
465,47,Chimie Générale,11.93
466,47,Algorithmique 1,12.03
467,47,Bureautique,13.53
468,47,Langue Anglaise 1,15.15
469,47,Expression Communication,14.31
470,47,Initiation à l'Informatique,8.09
471,48,Mathématiques Fondamentales,8.98
472,48,Algèbre Linéaire,14.4
473,48,Analyse 1,11.79
474,48,Physique Mécanique,7.47
475,48,Chimie Générale,14.47
476,48,Algorithmique 1,15.49
477,48,Bureautique,17.63
478,48,Langue Anglaise 1,14.16
479,48,Expression Communication,12.97
480,48,Initiation à l'Informatique,16.5
481,49,Mathématiques Fondamentales,12.52
482,49,Algèbre Linéaire,10.79
483,49,Analyse 1,8.67
484,49,Physique Mécanique,10.32
485,49,Chimie Générale,13.2
486,49,Algorithmique 1,19.71
487,49,Bureautique,16.53
488,49,Langue Anglaise 1,12.41
489,49,Expression Communication,14.77
490,49,Initiation à l'Informatique,14.32
491,50,Mathématiques Fondamentales,8.8
492,50,Algèbre Linéaire,13.45
493,50,Analyse 1,12.49
494,50,Physique Mécanique,8.79
495,50,Chimie Générale,9.9
496,50,Algorithmique 1,15.74
497,50,Bureautique,17.15
498,50,Langue Anglaise 1,12.18
499,50,Expression Communication,12.88
500,50,Initiation à l'Informatique,16.5
501,51,Mathématiques Fondamentales,12.1
502,51,Algèbre Linéaire,12.07
503,51,Analyse 1,10.37
504,51,Physique Mécanique,10.58
505,51,Chimie Générale,12.36
506,51,Algorithmique 1,9.18
507,51,Bureautique,16.81
508,51,Langue Anglaise 1,11.35
509,51,Expression Communication,11.73
510,51,Initiation à l'Informatique,14.04
511,52,Mathématiques Fondamentales,13.97
512,52,Algèbre Linéaire,7.31
513,52,Analyse 1,13.35
514,52,Physique Mécanique,11.6
515,52,Chimie Générale,12.94
516,52,Algorithmique 1,12.99
517,52,Bureautique,10.01
518,52,Langue Anglaise 1,14.58
519,52,Expression Communication,14.03
520,52,Initiation à l'Informatique,10.35
521,53,Mathématiques Fondamentales,14.07
522,53,Algèbre Linéaire,9.9
523,53,Analyse 1,10.27
524,53,Physique Mécanique,16.37
525,53,Chimie Générale,16.05
526,53,Algorithmique 1,15.38
527,53,Bureautique,7.77
528,53,Langue Anglaise 1,13.69
529,53,Expression Communication,13.86
530,53,Initiation à l'Informatique,13.2
531,54,Mathématiques Fondamentales,16.97
532,54,Algèbre Linéaire,12.7
533,54,Analyse 1,10.13
534,54,Physique Mécanique,11.66
535,54,Chimie Générale,10.64
536,54,Algorithmique 1,17.83
537,54,Bureautique,17.0
538,54,Langue Anglaise 1,14.55
539,54,Expression Communication,14.32
540,54,Initiation à l'Informatique,6.84
541,55,Mathématiques Fondamentales,11.44
542,55,Algèbre Linéaire,10.95
543,55,Analyse 1,15.87
544,55,Physique Mécanique,12.57
545,55,Chimie Générale,10.61
546,55,Algorithmique 1,13.09
547,55,Bureautique,19.32
548,55,Langue Anglaise 1,14.17
549,55,Expression Communication,11.6
550,55,Initiation à l'Informatique,14.9
551,56,Mathématiques Fondamentales,15.91
552,56,Algèbre Linéaire,14.64
553,56,Analyse 1,10.07
554,56,Physique Mécanique,16.29
555,56,Chimie Générale,8.62
556,56,Algorithmique 1,18.51
557,56,Bureautique,16.48
558,56,Langue Anglaise 1,13.27
559,56,Expression Communication,13.6
560,56,Initiation à l'Informatique,16.9
561,57,Mathématiques Fondamentales,12.1
562,57,Algèbre Linéaire,5.89
563,57,Analyse 1,10.72
564,57,Physique Mécanique,9.87
565,57,Chimie Générale,8.89
566,57,Algorithmique 1,14.32
567,57,Bureautique,12.55
568,57,Langue Anglaise 1,14.37
569,57,Expression Communication,7.81
570,57,Initiation à l'Informatique,16.43
571,58,Mathématiques Fondamentales,19.95
572,58,Algèbre Linéaire,14.26
573,58,Analyse 1,18.04
574,58,Physique Mécanique,18.93
575,58,Chimie Générale,4.08
576,58,Algorithmique 1,14.48
577,58,Bureautique,9.67
578,58,Langue Anglaise 1,12.74
579,58,Expression Communication,13.51
580,58,Initiation à l'Informatique,11.81
581,59,Mathématiques Fondamentales,14.56
582,59,Algèbre Linéaire,9.7
583,59,Analyse 1,8.28
584,59,Physique Mécanique,4.99
585,59,Chimie Générale,7.29
586,59,Algorithmique 1,11.62
587,59,Bureautique,7.65
588,59,Langue Anglaise 1,14.43
589,59,Expression Communication,11.3
590,59,Initiation à l'Informatique,10.82
591,60,Mathématiques Fondamentales,2.58
592,60,Algèbre Linéaire,16.55
593,60,Analyse 1,11.49
594,60,Physique Mécanique,19.54
595,60,Chimie Générale,11.43
596,60,Algorithmique 1,13.34
597,60,Bureautique,7.95
598,60,Langue Anglaise 1,16.59
599,60,Expression Communication,13.51
600,60,Initiation à l'Informatique,9.31
601,61,Mathématiques Fondamentales,10.16
602,61,Algèbre Linéaire,10.79
603,61,Analyse 1,12.51
604,61,Physique Mécanique,13.6
605,61,Chimie Générale,19.23
606,61,Algorithmique 1,10.94
607,61,Bureautique,17.34
608,61,Langue Anglaise 1,16.97
609,61,Expression Communication,14.76
610,61,Initiation à l'Informatique,13.08
611,62,Mathématiques Fondamentales,9.4
612,62,Algèbre Linéaire,18.41
613,62,Analyse 1,15.27
614,62,Physique Mécanique,12.77
615,62,Chimie Générale,14.57
616,62,Algorithmique 1,8.37
617,62,Bureautique,15.9
618,62,Langue Anglaise 1,15.9
619,62,Expression Communication,16.35
620,62,Initiation à l'Informatique,17.14
621,63,Mathématiques Fondamentales,11.32
622,63,Algèbre Linéaire,14.29
623,63,Analyse 1,19.75
624,63,Physique Mécanique,15.25
625,63,Chimie Générale,17.06
626,63,Algorithmique 1,10.83
627,63,Bureautique,15.13
628,63,Langue Anglaise 1,14.28
629,63,Expression Communication,12.69
630,63,Initiation à l'Informatique,13.89
631,64,Mathématiques Fondamentales,9.78
632,64,Algèbre Linéaire,11.28
633,64,Analyse 1,11.28
634,64,Physique Mécanique,6.05
635,64,Chimie Générale,14.34
636,64,Algorithmique 1,9.96
637,64,Bureautique,12.24
638,64,Langue Anglaise 1,18.21
639,64,Expression Communication,13.63
640,64,Initiation à l'Informatique,13.1
641,65,Mathématiques Fondamentales,12.88
642,65,Algèbre Linéaire,8.76
643,65,Analyse 1,14.74
644,65,Physique Mécanique,14.06
645,65,Chimie Générale,17.52
646,65,Algorithmique 1,10.81
647,65,Bureautique,12.36
648,65,Langue Anglaise 1,12.33
649,65,Expression Communication,13.27
650,65,Initiation à l'Informatique,14.44
651,66,Mathématiques Fondamentales,12.6
652,66,Algèbre Linéaire,9.24
653,66,Analyse 1,13.01
654,66,Physique Mécanique,16.54
655,66,Chimie Générale,10.06
656,66,Algorithmique 1,13.24
657,66,Bureautique,8.68
658,66,Langue Anglaise 1,17.54
659,66,Expression Communication,14.31
660,66,Initiation à l'Informatique,11.4
661,67,Mathématiques Fondamentales,10.43
662,67,Algèbre Linéaire,10.99
663,67,Analyse 1,8.25
664,67,Physique Mécanique,12.0
665,67,Chimie Générale,11.6
666,67,Algorithmique 1,13.11
667,67,Bureautique,9.33
668,67,Langue Anglaise 1,10.86
669,67,Expression Communication,10.56
670,67,Initiation à l'Informatique,13.56
671,68,Mathématiques Fondamentales,7.19
672,68,Algèbre Linéaire,11.08
673,68,Analyse 1,12.44
674,68,Physique Mécanique,14.25
675,68,Chimie Générale,15.89
676,68,Algorithmique 1,16.1
677,68,Bureautique,10.02
678,68,Langue Anglaise 1,11.66
679,68,Expression Communication,10.22
680,68,Initiation à l'Informatique,9.48
681,69,Mathématiques Fondamentales,14.38
682,69,Algèbre Linéaire,9.39
683,69,Analyse 1,12.54
684,69,Physique Mécanique,17.4
685,69,Chimie Générale,5.22
686,69,Algorithmique 1,8.51
687,69,Bureautique,7.08
688,69,Langue Anglaise 1,12.44
689,69,Expression Communication,12.82
690,69,Initiation à l'Informatique,10.06
691,70,Mathématiques Fondamentales,11.12
692,70,Algèbre Linéaire,10.88
693,70,Analyse 1,14.21
694,70,Physique Mécanique,9.98
695,70,Chimie Générale,14.18
696,70,Algorithmique 1,16.43
697,70,Bureautique,9.42
698,70,Langue Anglaise 1,12.03
699,70,Expression Communication,13.24
700,70,Initiation à l'Informatique,15.87
701,71,Mathématiques Fondamentales,14.27
702,71,Algèbre Linéaire,12.82
703,71,Analyse 1,11.97
704,71,Physique Mécanique,8.27
705,71,Chimie Générale,10.22
706,71,Algorithmique 1,10.94
707,71,Bureautique,14.18
708,71,Langue Anglaise 1,13.25
709,71,Expression Communication,15.57
710,71,Initiation à l'Informatique,11.56
711,72,Mathématiques Fondamentales,13.59
712,72,Algèbre Linéaire,14.37
713,72,Analyse 1,10.91
714,72,Physique Mécanique,3.78
715,72,Chimie Générale,12.3
716,72,Algorithmique 1,15.5
717,72,Bureautique,11.46
718,72,Langue Anglaise 1,12.6
719,72,Expression Communication,12.0
720,72,Initiation à l'Informatique,11.45
721,73,Mathématiques Fondamentales,6.36
722,73,Algèbre Linéaire,7.26
723,73,Analyse 1,8.67
724,73,Physique Mécanique,14.74
725,73,Chimie Générale,16.68
726,73,Algorithmique 1,12.37
727,73,Bureautique,15.79
728,73,Langue Anglaise 1,14.74
729,73,Expression Communication,13.14
730,73,Initiation à l'Informatique,16.49
731,74,Mathématiques Fondamentales,10.12
732,74,Algèbre Linéaire,10.73
733,74,Analyse 1,10.81
734,74,Physique Mécanique,11.74
735,74,Chimie Générale,11.34
736,74,Algorithmique 1,9.15
737,74,Bureautique,14.31
738,74,Langue Anglaise 1,12.56
739,74,Expression Communication,12.06
740,74,Initiation à l'Informatique,12.73
741,75,Mathématiques Fondamentales,16.31
742,75,Algèbre Linéaire,11.42
743,75,Analyse 1,13.44
744,75,Physique Mécanique,11.22
745,75,Chimie Générale,14.89
746,75,Algorithmique 1,11.31
747,75,Bureautique,13.06
748,75,Langue Anglaise 1,15.0
749,75,Expression Communication,15.4
750,75,Initiation à l'Informatique,14.04
751,76,Mathématiques Fondamentales,13.13
752,76,Algèbre Linéaire,8.0
753,76,Analyse 1,8.38
754,76,Physique Mécanique,8.38
755,76,Chimie Générale,14.58
756,76,Algorithmique 1,12.23
757,76,Bureautique,9.32
758,76,Langue Anglaise 1,13.04
759,76,Expression Communication,15.18
760,76,Initiation à l'Informatique,14.46
761,77,Mathématiques Fondamentales,12.08
762,77,Algèbre Linéaire,13.61
763,77,Analyse 1,9.19
764,77,Physique Mécanique,14.18
765,77,Chimie Générale,14.76
766,77,Algorithmique 1,8.76
767,77,Bureautique,16.26
768,77,Langue Anglaise 1,13.76
769,77,Expression Communication,15.6
770,77,Initiation à l'Informatique,13.62
771,78,Mathématiques Fondamentales,14.53
772,78,Algèbre Linéaire,17.07
773,78,Analyse 1,11.26
774,78,Physique Mécanique,15.68
775,78,Chimie Générale,12.42
776,78,Algorithmique 1,10.57
777,78,Bureautique,11.39
778,78,Langue Anglaise 1,16.06
779,78,Expression Communication,15.83
780,78,Initiation à l'Informatique,14.01
781,79,Mathématiques Fondamentales,10.81
782,79,Algèbre Linéaire,12.76
783,79,Analyse 1,15.86
784,79,Physique Mécanique,9.71
785,79,Chimie Générale,7.44
786,79,Algorithmique 1,15.66
787,79,Bureautique,10.69
788,79,Langue Anglaise 1,14.34
789,79,Expression Communication,13.82
790,79,Initiation à l'Informatique,14.21
791,80,Mathématiques Fondamentales,8.64
792,80,Algèbre Linéaire,8.58
793,80,Analyse 1,10.88
794,80,Physique Mécanique,9.51
795,80,Chimie Générale,14.79
796,80,Algorithmique 1,15.59
797,80,Bureautique,10.25
798,80,Langue Anglaise 1,13.75
799,80,Expression Communication,17.5
800,80,Initiation à l'Informatique,17.94
801,81,Mathématiques Fondamentales,19.09
802,81,Algèbre Linéaire,9.45
803,81,Analyse 1,17.12
804,81,Physique Mécanique,16.63
805,81,Chimie Générale,7.15
806,81,Algorithmique 1,7.91
807,81,Bureautique,14.84
